doc_name,country,type_of_sentence,quote,action,public_evidence,client_evidence,due_diligence_level,entity_type,role,business_type
JMLSG Part One June 2020 (amended July 2022),UK,KYC Profile Relevant,"Where the policy requirements cannot be met, staff must:
- Document the rationale for not meeting the policy requirements
- Obtain approval from the Money Laundering Reporting Officer or delegate.
- Obtain approval from the senior manager who is responsible for the specific business relationship.",Is there any reason that the due diligence requirements have not been met?,,,"['Simplified Due Diligence', 'Client Due Diligence', 'Enhanced Due Diligence']","['Private Individual', 'Trust', 'Partnership', 'Club or society', 'Special Purpose Vehicle', 'Pension Fund', 'Parent Listed On A Regulated Market', 'Listed On A Regulated Market', 'Foundation', 'Legal Form Similar to Trust', 'Other Legal Structure', 'Private Limited By Shares', 'Government and Supranational', 'Fund', 'Charity', 'Money Service Business', 'Sovereign Wealth Funds', 'All Entity Types']",['Client'],"['Invoice Finance', 'Payment Service Provider', 'Other Business Type', 'Syndicated Lending', 'Trade Finance', 'Correspondent Relationships', 'Asset Finance', 'Investment Funds', 'Investment Management', 'Private Equity', 'Wholesale Markets', 'Credit Unions', 'Cryptoassets', 'Electronic Money Issuer', 'Life insurance', 'Consumer credit', 'Corporate Finance', 'Credit Cards', 'Financial Advisors', 'Wealth Management', 'Life assurance and life-related protection, pension and investment products', 'Loans', 'Motor Finance', 'Pensions Schemes', 'Pooled Client Accounts', 'Secondary Loan Market']"
JMLSG Part One June 2020 (amended July 2022),UK,KYC Profile Relevant,The firm must record a NACE code that reflects the industry that the client operates in.,What is the client's NACE code?,Client's Commercial Register, Client's Website, Client's Audited Annual Report,Client email,"['Simplified Due Diligence', 'Client Due Diligence', 'Enhanced Due Diligence']","['Trust', 'Partnership', 'Club or society', 'Special Purpose Vehicle', 'Pension Fund', 'Parent Listed On A Regulated Market', 'Listed On A Regulated Market', 'Foundation', 'Legal Form Similar to Trust', 'Other Legal Structure', 'Private Limited By Shares', 'Government and Supranational', 'Fund', 'Charity', 'Money Service Business', 'Sovereign Wealth Funds', 'All Organisation Entity Types']","['Invoice Finance', 'Payment Service Provider', 'Other Business Type', 'Syndicated Lending', 'Trade Finance', 'Correspondent Relationships', 'Asset Finance', 'Investment Funds', 'Investment Management', 'Private Equity', 'Wholesale Markets', 'Credit Unions', 'Cryptoassets', 'Electronic Money Issuer', 'Life insurance', 'Consumer credit', 'Corporate Finance', 'Credit Cards', 'Financial Advisors', 'Wealth Management', 'Life assurance and life-related protection, pension and investment products', 'Loans', 'Motor Finance', 'Pensions Schemes', 'Pooled Client Accounts', 'Secondary Loan Market']",,,,,,,,,,,,,,,,,,,,,,,
JMLSG Part One June 2020 (amended July 2022),UK,KYC Profile Relevant,"Escalate to the Money Laundering Reporting Officer or delegate where employees see anything that they believe to be a financial crime risk. Financial Crime is a risk to the firm's good standing and continued operation. Employees are responsible for protecting themselves, their colleagues, and the firm from the damage that can be caused by being associated with financial crime.",Has any Financial Crime risk been detected?,,,"['Simplified Due Diligence', 'Client Due Diligence', 'Enhanced Due Diligence']","['Private Individual', 'Trust', 'Partnership', 'Club or society', 'Special Purpose Vehicle', 'Pension Fund', 'Parent Listed On A Regulated Market', 'Listed On A Regulated Market', 'Foundation', 'Legal Form Similar to Trust', 'Other Legal Structure', 'Private Limited By Shares', 'Government and Supranational', 'Fund', 'Charity', 'Money Service Business', 'Sovereign Wealth Funds', 'All Entity Types']",['Client'],"['Invoice Finance', 'Payment Service Provider', 'Other Business Type', 'Syndicated Lending', 'Trade Finance', 'Correspondent Relationships', 'Asset Finance', 'Investment Funds', 'Investment Management', 'Private Equity', 'Wholesale Markets', 'Credit Unions', 'Cryptoassets', 'Electronic Money Issuer', 'Life insurance', 'Consumer credit', 'Corporate Finance', 'Credit Cards', 'Financial Advisors', 'Wealth Management', 'Life assurance and life-related protection, pension and investment products', 'Loans', 'Motor Finance', 'Pensions Schemes', 'Pooled Client Accounts', 'Secondary Loan Market']"
JMLSG Part One June 2020 (amended July 2022),UK,KYC Profile Relevant,Any escalation to the Money Laundering Reporting Officer or delegate must include the source of wealth and source of funds of the client.,What are all of the activities that have generated the source of funds from initial source of funds to current source of funds?,,,"['Simplified Due Diligence', 'Client Due Diligence', 'Enhanced Due Diligence']","['Private Individual', 'Trust', 'Partnership', 'Club or society', 'Special Purpose Vehicle', 'Pension Fund', 'Parent Listed On A Regulated Market', 'Listed On A Regulated Market', 'Foundation', 'Legal Form Similar to Trust', 'Other Legal Structure', 'Private Limited By Shares', 'Government and Supranational', 'Fund', 'Charity', 'Money Service Business', 'Sovereign Wealth Funds', 'All Entity Types', 'All Organisation Entity Types']","['Client', 'Borrower']","['Invoice Finance', 'Payment Service Provider', 'Other Business Type', 'Syndicated Lending', 'Trade Finance', 'Correspondent Relationships', 'Asset Finance', 'Investment Funds', 'Investment Management', 'Private Equity', 'Wholesale Markets', 'Credit Unions', 'Cryptoassets', 'Electronic Money Issuer', 'Life insurance', 'Consumer credit', 'Corporate Finance', 'Credit Cards', 'Financial Advisors', 'Wealth Management', 'Life assurance and life-related protection, pension and investment products', 'Loans', 'Motor Finance', 'Pensions Schemes', 'Pooled Client Accounts', 'Secondary Loan Market']"
JMLSG Part One June 2020 (amended July 2022),UK,KYC Profile Relevant,Any escalation to the Money Laundering Reporting Officer or delegate must include the source of wealth of any beneficial owners.,What is the source of wealth of any beneficial owners?,,,"['Simplified Due Diligence', 'Client Due Diligence', 'Enhanced Due Diligence']","['Trust', 'Partnership', 'Club or society', 'Special Purpose Vehicle', 'Pension Fund', 'Parent Listed On A Regulated Market', 'Listed On A Regulated Market', 'Foundation', 'Legal Form Similar to Trust', 'Other Legal Structure', 'Private Limited By Shares', 'Government and Supranational', 'Fund', 'Charity', 'Money Service Business', 'Sovereign Wealth Funds', 'All Organisation Entity Types']",['Beneficial Owner'],"['Invoice Finance', 'Payment Service Provider', 'Other Business Type', 'Syndicated Lending', 'Trade Finance', 'Correspondent Relationships', 'Asset Finance', 'Investment Funds', 'Investment Management', 'Private Equity', 'Wholesale Markets', 'Credit Unions', 'Cryptoassets', 'Electronic Money Issuer', 'Life insurance', 'Consumer credit', 'Corporate Finance', 'Credit Cards', 'Financial Advisors', 'Wealth Management', 'Life assurance and life-related protection, pension and investment products', 'Loans', 'Motor Finance', 'Pensions Schemes', 'Pooled Client Accounts', 'Secondary Loan Market']"
JMLSG Part One June 2020 (amended July 2022),UK,KYC Profile Relevant,Any escalation to the Money Laundering Reporting Officer or delegate must include the source of wealth of any person on whose behalf the client has been or is acting.,Has the client been acting on behalf of an underlying client?,,,"['Simplified Due Diligence', 'Client Due Diligence', 'Enhanced Due Diligence']","['Private Individual', 'Trust', 'Partnership', 'Club or society', 'Special Purpose Vehicle', 'Pension Fund', 'Parent Listed On A Regulated Market', 'Listed On A Regulated Market', 'Foundation', 'Legal Form Similar to Trust', 'Other Legal Structure', 'Private Limited By Shares', 'Government and Supranational', 'Fund', 'Charity', 'Money Service Business', 'Sovereign Wealth Funds', 'All Entity Types']",['Client'],"['Invoice Finance', 'Payment Service Provider', 'Other Business Type', 'Syndicated Lending', 'Trade Finance', 'Correspondent Relationships', 'Asset Finance', 'Investment Funds', 'Investment Management', 'Private Equity', 'Wholesale Markets', 'Credit Unions', 'Cryptoassets', 'Electronic Money Issuer', 'Life insurance', 'Consumer credit', 'Corporate Finance', 'Credit Cards', 'Financial Advisors', 'Wealth Management', 'Life assurance and life-related protection, pension and investment products', 'Loans', 'Motor Finance', 'Pensions Schemes', 'Pooled Client Accounts', 'Secondary Loan Market']"
JMLSG Part One June 2020 (amended July 2022),UK,KYC Profile Relevant,Any escalation to the Money Laundering Reporting Officer or delegate must include the country where the transaction took or will take place.,What country did or will the transaction take place in?,,,"['Simplified Due Diligence', 'Client Due Diligence', 'Enhanced Due Diligence']","['Private Individual', 'Trust', 'Partnership', 'Club or society', 'Special Purpose Vehicle', 'Pension Fund', 'Parent Listed On A Regulated Market', 'Listed On A Regulated Market', 'Foundation', 'Legal Form Similar to Trust', 'Other Legal Structure', 'Private Limited By Shares', 'Government and Supranational', 'Fund', 'Charity', 'Money Service Business', 'Sovereign Wealth Funds', 'All Entity Types']",['Client'],"['Invoice Finance', 'Payment Service Provider', 'Other Business Type', 'Syndicated Lending', 'Trade Finance', 'Correspondent Relationships', 'Asset Finance', 'Investment Funds', 'Investment Management', 'Private Equity', 'Wholesale Markets', 'Credit Unions', 'Cryptoassets', 'Electronic Money Issuer', 'Life insurance', 'Consumer credit', 'Corporate Finance', 'Credit Cards', 'Financial Advisors', 'Wealth Management', 'Life assurance and life-related protection, pension and investment products', 'Loans', 'Motor Finance', 'Pensions Schemes', 'Pooled Client Accounts', 'Secondary Loan Market']"
JMLSG Part One June 2020 (amended July 2022),UK,KYC Profile Relevant,Any escalation to the Money Laundering Reporting Officer or delegate must include the country of the part of the firm that entered in to the relationship with the client.,What country is the part of the firm that entered in to the relationship with the client based in?,,,"['Simplified Due Diligence', 'Client Due Diligence', 'Enhanced Due Diligence']","['Private Individual', 'Trust', 'Partnership', 'Club or society', 'Special Purpose Vehicle', 'Pension Fund', 'Parent Listed On A Regulated Market', 'Listed On A Regulated Market', 'Foundation', 'Legal Form Similar to Trust', 'Other Legal Structure', 'Private Limited By Shares', 'Government and Supranational', 'Fund', 'Charity', 'Money Service Business', 'Sovereign Wealth Funds', 'All Entity Types']",['Client'],"['Invoice Finance', 'Payment Service Provider', 'Other Business Type', 'Syndicated Lending', 'Trade Finance', 'Correspondent Relationships', 'Asset Finance', 'Investment Funds', 'Investment Management', 'Private Equity', 'Wholesale Markets', 'Credit Unions', 'Cryptoassets', 'Electronic Money Issuer', 'Life insurance', 'Consumer credit', 'Corporate Finance', 'Credit Cards', 'Financial Advisors', 'Wealth Management', 'Life assurance and life-related protection, pension and investment products', 'Loans', 'Motor Finance', 'Pensions Schemes', 'Pooled Client Accounts', 'Secondary Loan Market']"
JMLSG Part One June 2020 (amended July 2022),UK,KYC Profile Relevant,Any escalation to the Money Laundering Reporting Officer or delegate must include the country that the client operates from and is registered.,What country does the client operate from?,,,"['Simplified Due Diligence', 'Client Due Diligence', 'Enhanced Due Diligence']","['Trust', 'Partnership', 'Club or society', 'Special Purpose Vehicle', 'Pension Fund', 'Parent Listed On A Regulated Market', 'Listed On A Regulated Market', 'Foundation', 'Legal Form Similar to Trust', 'Other Legal Structure', 'Private Limited By Shares', 'Government and Supranational', 'Fund', 'Charity', 'Money Service Business', 'Sovereign Wealth Funds', 'All Organisation Entity Types']",['Client'],"['Invoice Finance', 'Payment Service Provider', 'Other Business Type', 'Syndicated Lending', 'Trade Finance', 'Correspondent Relationships', 'Asset Finance', 'Investment Funds', 'Investment Management', 'Private Equity', 'Wholesale Markets', 'Credit Unions', 'Cryptoassets', 'Electronic Money Issuer', 'Life insurance', 'Consumer credit', 'Corporate Finance', 'Credit Cards', 'Financial Advisors', 'Wealth Management', 'Life assurance and life-related protection, pension and investment products', 'Loans', 'Motor Finance', 'Pensions Schemes', 'Pooled Client Accounts', 'Secondary Loan Market']"
JMLSG Part One June 2020 (amended July 2022),UK,KYC Profile Relevant,Any escalation to the Money Laundering Reporting Officer or delegate must include the full KYC profile of the client.,Has the full KYC file been escalated to the Money Laundering Reporting Officer or delegate?,,,"['Simplified Due Diligence', 'Client Due Diligence', 'Enhanced Due Diligence']","['Private Individual', 'Trust', 'Partnership', 'Club or society', 'Special Purpose Vehicle', 'Pension Fund', 'Parent Listed On A Regulated Market', 'Listed On A Regulated Market', 'Foundation', 'Legal Form Similar to Trust', 'Other Legal Structure', 'Private Limited By Shares', 'Government and Supranational', 'Fund', 'Charity', 'Money Service Business', 'Sovereign Wealth Funds', 'All Entity Types']",['Client'],"['Invoice Finance', 'Payment Service Provider', 'Other Business Type', 'Syndicated Lending', 'Trade Finance', 'Correspondent Relationships', 'Asset Finance', 'Investment Funds', 'Investment Management', 'Private Equity', 'Wholesale Markets', 'Credit Unions', 'Cryptoassets', 'Electronic Money Issuer', 'Life insurance', 'Consumer credit', 'Corporate Finance', 'Credit Cards', 'Financial Advisors', 'Wealth Management', 'Life assurance and life-related protection, pension and investment products', 'Loans', 'Motor Finance', 'Pensions Schemes', 'Pooled Client Accounts', 'Secondary Loan Market']"
