BTUID,businessType
BTUID1,Invoice Finance
BTUID2,Payment Service Provider
BTUID3,Other Business Type
BTUID4,Syndicated Lending
BTUID5,Trade Finance
BTUID6,Correspondent Relationships
BTUID7,Asset Finance
BTUID8,Investment Funds
BTUID9,Investment Management
BTUID10,Private Equity
BTUID11,Wholesale Markets
BTUID12,Credit Unions
BTUID13,Cryptoassets
BTUID14,Electronic Money Issuer
BTUID15,Life insurance
BTUID17,Consumer credit
BTUID18,Corporate Finance
BTUID19,Credit Cards
BTUID20,Financial Advisors
BTUID21,Wealth Management
BTUID22,"Life assurance and life-related protection, pension and investment products"
BTUID23,Loans
BTUID24,Motor Finance
BTUID25,Pensions Schemes
BTUID26,Pooled Client Accounts
BTUID27,Secondary Loan Market
