IEUID,document,type
IEUID4,Client Data System,Internal Evidence
IEUID21,Relationship Manager Questionnaire,Internal Evidence
IEUID15,Money Laundering Reporting Officer or delegate approval,Internal Evidence
IEUID24,Senior Manager Approval,Internal Evidence
IEUID23,Screening tool,Internal Evidence
IEUID17,Money Laundering Reporting Officer or delegate risk rating override rationale,Internal Evidence
IEUID28,Transaction System,Internal Evidence
IEUID12,government approved data matching authority or anti-fraud firm,Internal Evidence
IEUID1,AML Questionnaire,Internal Evidence
IEUID8,Employee True Copy Certification,Internal Evidence
IEUID18,Offering Memorandum or prospectus,Internal Evidence
IEUID13,Internal documents and file notes,Internal Evidence
IEUID16,Money Laundering Reporting Officer or delegate request,Internal Evidence
IEUID26,Terms of business,Internal Evidence
IEUID29,Transactions terms,Internal Evidence
IEUID14,Member Internal Report,Internal Evidence
IEUID27,Third party client profile,Internal Evidence
IEUID20,Proof of Companies House escalation,Internal Evidence
IEUID25,Site visit form,Internal Evidence
IEUID22,Report Request,Internal Evidence
IEUID6,Commodity Price Analysis,Internal Evidence
IEUID5,Client meeting recordings,Internal Evidence
IEUID2,Application form,Internal Evidence
IEUID7,Digital Identification provider,Internal Evidence
IEUID10,Evidence of letter being sent to client's address,Internal Evidence
IEUID9,Evidence of letter being sent to beneficial owner's address,Internal Evidence
IEUID11,Evidence of letter being sent to senior manager's address,Internal Evidence
IEUID19,Password,Internal Evidence
IEUID3,Biometric data,Internal Evidence
